device_id,timestamp,duration_minutes,business_type,zone,device_type
D3929,2025-06-17 12:44:00,44,Restaurant,Display Area,Phone
D5629,2025-06-17 17:38:00,15,Restaurant,Checkout,Smartwatch
D4824,2025-06-17 19:16:00,15,Restaurant,Display Area,Smartwatch
D4995,2025-06-17 10:08:00,36,Restaurant,Checkout,Phone
D8745,2025-06-17 18:53:00,41,Restaurant,Display Area,Smartwatch
D1343,2025-06-17 17:14:00,43,Restaurant,Waiting Area,Smartwatch
D4925,2025-06-17 18:44:00,31,Restaurant,Display Area,Laptop
D3832,2025-06-17 16:36:00,21,Restaurant,Checkout,Phone
D6513,2025-06-17 09:11:00,51,Restaurant,Seating,Laptop
D9589,2025-06-17 13:28:00,27,Restaurant,Display Area,Phone
D7537,2025-06-17 16:30:00,49,Restaurant,Checkout,Phone
D4124,2025-06-17 14:34:00,5,Restaurant,Seating,Laptop
D3798,2025-06-17 15:40:00,12,Restaurant,Seating,Tablet
D4824,2025-06-17 13:33:00,31,Restaurant,Entrance,Phone
D1330,2025-06-17 09:49:00,18,Restaurant,Display Area,Laptop
D3745,2025-06-17 11:07:00,59,Restaurant,Seating,Tablet
D3288,2025-06-17 09:26:00,27,Restaurant,Seating,Laptop
D8924,2025-06-17 19:26:00,1,Restaurant,Entrance,Laptop
D1409,2025-06-17 12:34:00,13,Restaurant,Checkout,Laptop
D2184,2025-06-17 10:01:00,51,Restaurant,Waiting Area,Tablet
D5302,2025-06-17 09:55:00,22,Restaurant,Seating,Laptop
D5438,2025-06-17 18:09:00,16,Restaurant,Entrance,Phone
D4769,2025-06-17 10:19:00,18,Restaurant,Entrance,Laptop
D4899,2025-06-17 15:44:00,44,Restaurant,Display Area,Phone
