device_id,timestamp,duration_minutes,business_type,zone,device_type
D1806,2025-06-17 19:25:00,27,Business Cafe,Seating,Phone
D8519,2025-06-17 13:39:00,26,Business Cafe,Seating,Phone
D9237,2025-06-17 19:59:00,27,Business Cafe,Waiting Area,Phone
D3403,2025-06-17 08:38:00,59,Business Cafe,Waiting Area,Tablet
D8206,2025-06-17 16:08:00,33,Business Cafe,Seating,Laptop
D7896,2025-06-17 19:30:00,10,Business Cafe,Checkout,Phone
D6880,2025-06-17 18:20:00,48,Business Cafe,Display Area,Laptop
D8276,2025-06-17 08:05:00,42,Business Cafe,Display Area,Laptop
D9961,2025-06-17 18:08:00,52,Business Cafe,Seating,Tablet
D6796,2025-06-17 16:57:00,23,Business Cafe,Waiting Area,Phone
D7233,2025-06-17 18:49:00,37,Business Cafe,Checkout,Smartwatch
D3751,2025-06-17 14:58:00,4,Business Cafe,Display Area,Tablet
D8218,2025-06-17 18:33:00,19,Business Cafe,Waiting Area,Phone
D6799,2025-06-17 13:23:00,3,Business Cafe,Display Area,Tablet
D7069,2025-06-17 09:05:00,54,Business Cafe,Waiting Area,Phone
D8987,2025-06-17 14:00:00,53,Business Cafe,Display Area,Tablet
D7962,2025-06-17 09:45:00,44,Business Cafe,Entrance,Tablet
D5776,2025-06-17 16:09:00,55,Business Cafe,Checkout,Phone
D5278,2025-06-17 08:23:00,52,Business Cafe,Entrance,Tablet
D2239,2025-06-17 17:41:00,53,Business Cafe,Seating,Smartwatch
D7686,2025-06-17 10:56:00,50,Business Cafe,Display Area,Smartwatch
D6317,2025-06-17 17:16:00,49,Business Cafe,Checkout,Tablet
D8944,2025-06-17 08:46:00,45,Business Cafe,Waiting Area,Smartwatch
D6619,2025-06-17 08:32:00,58,Business Cafe,Display Area,Phone
D5131,2025-06-17 17:15:00,55,Business Cafe,Seating,Smartwatch
D7813,2025-06-17 18:52:00,23,Business Cafe,Entrance,Laptop
D7390,2025-06-17 13:14:00,32,Business Cafe,Entrance,Smartwatch
D9399,2025-06-17 16:50:00,26,Business Cafe,Display Area,Tablet
D1385,2025-06-17 17:44:00,43,Business Cafe,Waiting Area,Laptop
D3710,2025-06-17 16:23:00,19,Business Cafe,Checkout,Laptop
D4148,2025-06-17 15:11:00,11,Business Cafe,Entrance,Smartwatch
