device_id,timestamp,duration_minutes,business_type,zone,device_type
D5949,2025-06-17 09:17:00,30,Hospital,Waiting Area,Tablet
D1459,2025-06-17 19:07:00,45,Hospital,Waiting Area,Laptop
D7259,2025-06-17 12:28:00,25,Hospital,Seating,Tablet
D9274,2025-06-17 15:04:00,53,Hospital,Seating,Tablet
D1016,2025-06-17 08:22:00,5,Hospital,Display Area,Smartwatch
D7840,2025-06-17 16:05:00,14,Hospital,Checkout,Smartwatch
D4548,2025-06-17 17:30:00,7,Hospital,Entrance,Phone
D4714,2025-06-17 18:36:00,32,Hospital,Display Area,Smartwatch
D6186,2025-06-17 10:50:00,1,Hospital,Entrance,Laptop
D8139,2025-06-17 10:58:00,41,Hospital,Waiting Area,Smartwatch
D4775,2025-06-17 15:00:00,51,Hospital,Entrance,Phone
D1932,2025-06-17 12:00:00,27,Hospital,Entrance,Laptop
D8001,2025-06-17 15:41:00,9,Hospital,Entrance,Tablet
D3785,2025-06-17 17:19:00,2,Hospital,Seating,Laptop
D6035,2025-06-17 14:15:00,30,Hospital,Checkout,Smartwatch
D6091,2025-06-17 17:47:00,42,Hospital,Seating,Phone
D2467,2025-06-17 12:59:00,47,Hospital,Display Area,Tablet
D3732,2025-06-17 17:13:00,24,Hospital,Entrance,Laptop
D5881,2025-06-17 15:38:00,37,Hospital,Waiting Area,Phone
D5127,2025-06-17 16:12:00,16,Hospital,Display Area,Phone
D3825,2025-06-17 18:42:00,59,Hospital,Waiting Area,Tablet
D1534,2025-06-17 11:35:00,38,Hospital,Display Area,Smartwatch
D2250,2025-06-17 17:59:00,12,Hospital,Seating,Laptop
D7464,2025-06-17 18:51:00,33,Hospital,Waiting Area,Tablet
D6075,2025-06-17 10:02:00,6,Hospital,Display Area,Smartwatch
D5839,2025-06-17 19:01:00,57,Hospital,Waiting Area,Laptop
D3798,2025-06-17 15:26:00,50,Hospital,Entrance,Laptop
D9858,2025-06-17 12:53:00,15,Hospital,Checkout,Tablet
D9345,2025-06-17 10:40:00,4,Hospital,Entrance,Phone
D5842,2025-06-17 15:45:00,59,Hospital,Seating,Phone
